Key,Comment,en,en-GB,de,es,
MUSIC_MESSAGE_PLAYLIST_PUSH_DONE,Message displayed when finished pushing playlists,Finished pushing playlists.,Finished pushing playlists.,Finished pushing playlists.,Finished pushing playlists.,
MUSIC_MESSAGE_FINISHED_IMPORTING_PLAYLISTS,"Music: Message, finished importing playlists. (unused)",Finished processing imported objects!,Finished processing imported objects!,Finished processing imported objects!,Finished processing imported objects!,
MUSIC_MESSAGE_ERROR_DELETING_REMOTE_PLAYLIST_UID_TEXT,Alert message when theres a problem deleting a remote playlist because of a nil id,Error deleting remote playlist: Nil Uid!,Error deleting remote playlist: Nil Uid!,Error deleting remote playlist: Nil Uid!,Error deleting remote playlist: Nil Uid!,
MUSIC_MESSAGE_ERROR_DELETING_REMOTE_PLAYLIST_TEXT,Alert message when theres a problem deleting a remote playlist,Error deleting remote playlist!,Error deleting remote playlist!,Error deleting remote playlist!,Error deleting remote playlist!,
MUSIC_MESSAGE_ERROR_CREATING_LOCAL_PLAYLIST,Music: Message 'Error creating local playlist!' (probably not used),Error creating local playlist!,Error creating local playlist!,Error creating local playlist!,Error creating local playlist!,
MUSIC_MESSAGE_ERROR_ADDING_SONGS,Music: Message 'Error adding songs to playlist' (probably not used),Error adding songs to playlist!,Error adding songs to playlist!,Error adding songs to playlist!,Error adding songs to playlist!,
MUSIC_BUTTON_PLAYLIST_EDIT,"Music: Button, 'Edit' for playlists.",Edit,Edit,Edit,Edit,
DOWNLOAD_LABEL_DOWNLOADING_n_OF_m_FILES,"Download: Label, Downloading N of M files.",Downloading %1$d of %2$d file(s)...,Downloading %1$d of %2$d file(s)...,Downloading %1$d of %2$d file(s)...,Downloading %1$d of %2$d file(s)...,
MUSIC_ALERT_MESSAGE_DELETE_PLAYLIST,"Music: Alert message, 'Delete playlist?'",Delete playlist?,Delete playlist?,Delete playlist?,Delete playlist?,
MUSIC_ALERT_MESSAGE_DELETE_SONGS_FROM_PLAYLIST,Music: Alert message for deleting song(s) from playlist,Are you sure you want to delete the selected songs?,Are you sure you want to delete the selected songs?,Are you sure you want to delete the selected songs?,Are you sure you want to delete the selected songs?,
ALBUM_ALERT_TITLE_DELETE_ALBUM,"Album: Alert title, 'Delete Album'.",Delete album,Delete album,Delete album,Delete album,
ALBUM_LABEL_FOLDER_CREATED,"Album: Label, folder 'created'.",created,created,created,created,
MUSIC_MESSAGE_ERROR_SAVING_NEWLY_ADDED_PLAYLIST,Music: Message 'Could not save the newly added playlist.' (probably not used),Could not save the newly added playlist.,Could not save the newly added playlist.,Could not save the newly added playlist.,Could not save the newly added playlist.,
MUSIC_MESSAGE_COULD_NOT_PUSH_LOCAL_PLAYLIST,Message saying: Could not push local playlist (probably unused),Could not push local playlist!,Could not push local playlist!,Could not push local playlist!,Could not push local playlist!,
MUSIC_MESSAGE_ERROR_POPULATING_PLAYLIST,Music: Alert message when an error occurs populating playlist (probably unused),Could not populate local playlist!,Could not populate local playlist!,Could not populate local playlist!,Could not populate local playlist!,
SETTINGS_BUTTON_CLOSE,"Settings: Button, Close.",Close,Close,Close,Close,
MUSIC_MESSAGE_CLEAR_PLAYLIST,Clear playlist?,Clear playlist?,Clear playlist?,Clear playlist?,Clear playlist?,
MUSIC_BUTTON_CLEAR,Music: Button text 'Clear',Clear,Clear,Clear,Clear,
MUSIC_MESSAGE_REFRESH_ERROR,Message displayed when client cannot refresh music.,Cannot refresh music.,Cannot refresh music.,Cannot refresh music.,Cannot refresh music.,
MUSIC_MESSAGE_PLAYLIST_PUSH_ERROR,Message displayed when unable to push playlist,Cannot push playlist!,Cannot push playlist!,Cannot push playlist!,Cannot push playlist!,
MUSIC_MESSAGE_UNKNOWN_FILE_TYPE,Music: Message 'Cannot process this data type',Cannot process this data type!,Cannot process this data type!,Cannot process this data type!,Cannot process this data type!,
MUSIC_MESSAGE_NO_PLAYLIST_NAME_TEXT,Alert message for error on empty playlist name,Cannot create playlist with no name!,Cannot create playlist with no name!,Cannot create playlist with no name!,Cannot create playlist with no name!,
MUSIC_LABEL_ARTIST,"Music: Label, 'artist'.",artist,artist,artist,artist,
MUSIC_ALERT_MESSAGE_DELETE_CONFIRMATION,"Music: Alert message, Delete Confirmation.",Are you sure you want to delete this %@?,Are you sure you want to delete this %@?,Are you sure you want to delete this %@?,Are you sure you want to delete this %@?,
MUSIC_LABEL_ALBUM,"Music: Label, 'album'.",Album,Album,Album,Album,
MUSIC_TITLE_ADD_SONGS,"Music: Title, Add Songs.",Add songs,Add songs,Add songs,Add songs,
MUSIC_TITLE_ADD_GENRES,"Music: Title, Add Genres.",Add genres,Add genres,Add genres,Add genres,
MUSIC_TITLE_ADD_ARTISTS,"Music: Title, Add Artists.",Add artists,Add artists,Add artists,Add artists,
ALBUM_TITLE_ADD_ALBUMS,"Album: Title, Add Albums.",Add albums,Add albums,Add albums,Add albums,
MUSIC_MESSAGE_PLAYLIST_NAME_EXISTS_TEXT,Message to display when playlist name already used,A playlist with this name exists already. Please specify a different playlist name!,A playlist with this name exists already. Please specify a different playlist name!,A playlist with this name exists already. Please specify a different playlist name!,A playlist with this name exists already. Please specify a different playlist name!,
MUSIC_LABEL_ALBUM_DETAILS,"Album track count details, number of songs, number of minutes.","%1$@ Songs, %2$@ Mins.","%1$@ Songs, %2$@ Mins.","%1$@ Songs, %2$@ Mins.","%1$@ Songs, %2$@ Mins.",
ALBUM_LABEL_MORE,"Album: Label, More. Signifies 'more' content available.",...more...,...more...,...more...,...more...,
